Country,CCode,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Netherlands,NLD,8.52E+11,9.13E+11,8.46E+11,8.84E+11,9.02E+11,7.76E+11,7.97E+11,8.48E+11,9.3E+11,9.29E+11,9.33E+11,1.05E+12,1.05E+12,1.15E+12
Norway,NOR,4.31E+11,5.01E+11,5.13E+11,5.26E+11,5.02E+11,3.88E+11,3.71E+11,4.02E+11,4.4E+11,4.09E+11,3.68E+11,5.03E+11,5.94E+11,4.85E+11
New Zealand,NZL,1.47E+11,1.68E+11,1.76E+11,1.91E+11,2.01E+11,1.78E+11,1.89E+11,2.07E+11,2.12E+11,2.13E+11,2.13E+11,2.54E+11,2.47E+11,2.52E+11
Poland,POL,4.78E+11,5.28E+11,4.98E+11,5.18E+11,5.42E+11,4.8E+11,4.73E+11,5.28E+11,5.95E+11,6.03E+11,6.06E+11,6.89E+11,6.96E+11,8.09E+11
Portugal,PRT,2.38E+11,2.45E+11,2.17E+11,2.27E+11,2.3E+11,1.99E+11,2.06E+11,2.21E+11,2.42E+11,2.4E+11,2.3E+11,2.56E+11,2.57E+11,2.89E+11
Slovak Republic,SVK,91112160801,99705104723,94724394278,99134277850,1.02E+11,89178548717,90347173229,95978130735,1.07E+11,1.06E+11,1.08E+11,1.21E+11,1.16E+11,1.33E+11
Slovenia,SVN,47793117241,51199194599,46167053954,47867056859,49514466380,42709468275,44290685824,48153200135,53689067640,53909922736,53384760135,61529280461,59927702746,69148468417
Sweden,SWE,4.93E+11,5.71E+11,5.5E+11,5.84E+11,5.78E+11,5.02E+11,5.14E+11,5.36E+11,5.51E+11,5.32E+11,5.45E+11,6.37E+11,5.8E+11,5.85E+11
Turkey,TUR,7.77E+11,8.39E+11,8.81E+11,9.58E+11,9.39E+11,8.64E+11,8.7E+11,8.59E+11,7.79E+11,7.61E+11,7.2E+11,8.2E+11,9.07E+11,1.12E+12
United States,USA,1.5E+13,1.56E+13,1.63E+13,1.69E+13,1.76E+13,1.83E+13,1.88E+13,1.96E+13,2.07E+13,2.15E+13,2.14E+13,2.37E+13,2.6E+13,2.77E+13
