Country Name,CCode,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Norway,NOR,-0.041795246,0.041361973,0.012528316,-0.079409278,-0.067324549,-0.117626697,-0.114678597,-0.083199937,-0.182725317,0.022679498,-0.127846226,-0.091693198,0.679958463,0.266908573
New Zealand,NZL,0.111726056,-0.31414777,-0.281002853,0.40153019,1.161796485,0.225779168,0.103140812,-0.070038793,-0.142423191,-0.111699858,0.385649605,-0.812378734,-0.721117624,16.75570395
Poland,POL,-3.85609122,-1.188263276,-1.004446295,251.4720884,0.239996818,-0.109626472,-0.354975678,-1.290335256,-1.016036171,121.0543688,6.166712702,12.99914454,-0.823288314,-0.155660888
Portugal,PRT,-0.54089963,-4.203763025,1.756379791,0.353689484,-0.017537313,-0.231920578,-0.238281312,-0.226874501,-0.343538446,-1.14823797,3.428935772,4.963519793,0.112317563,0.963595839
Slovak Republic,SVK,-0.06808727,0.383567998,0.319904789,-0.368576949,-0.096899125,-0.020727851,0.356593368,0.20366267,-0.107429719,-0.022959564,-0.366210764,-3.475925211,0.341413444,-0.675930141
Slovenia,SVN,-0.515467239,-0.523635692,0.011031503,-0.353759422,-0.275365398,-0.235493446,-0.026512352,-0.109815228,4.56460624,0.920391654,-0.038129019,-0.598581409,-0.295432431,1.091688436
Sweden,SWE,-0.052750412,-0.114218982,-0.020375898,0.145432173,0.170969856,0.065746482,0.18818707,0.072418947,-0.13789052,-0.127339141,-0.287078977,-0.168965987,0.133187584,-0.305422036
Turkey,TUR,0.085307814,-0.033997452,-0.131529867,0.007606961,0.050353011,-0.011098698,0.008477653,-0.036174589,0.04383808,0.056215811,-0.321264498,-0.061770397,0.081434187,-0.587248599
United States,USA,-0.078203694,-0.123948774,0.009374464,-0.055533898,0.058455138,0.003894108,-0.015676407,-0.126997532,-0.167880514,-0.134972136,1.127886116,-0.837623558,1.335492578,0.338670546
Czechia,CZE,-0.51439721,-0.290408844,-0.323205635,-0.762945932,2.173884636,0.867337227,-0.023095584,0.383206743,0.258936561,0.177502281,-0.382352564,-8.449434383,-1.867044183,0.134576827
